Number of Iterations, Accuracy 
200, 0.96938205 
400, 0.97770701 
600, 0.97619846 
800, 0.97798637 
1000, 0.97144932 
1200, 0.9763102 
1400, 0.97888032 
1600, 0.97446642 
1800, 0.97038775 
2000, 0.97759526 
2200, 0.97955079 
2400, 0.97318136 
2600, 0.97513689 
2800, 0.97496927 
3000, 0.97809811 
3200, 0.97658956 
3400, 0.97619846 
3600, 0.97698067 
3800, 0.98005364 
4000, 0.9763102 
4200, 0.97279026 
4400, 0.97927143 
4600, 0.96915857 
4800, 0.97524863 
5000, 0.96781763 
5200, 0.96440943 
5400, 0.97938317 
5600, 0.97848922 
5800, 0.97910381 
6000, 0.97653369 
6200, 0.97943904 
6400, 0.97273438 
6600, 0.97960666 
6800, 0.9797184 
7000, 0.97603084 
7200, 0.9783216 
7400, 0.97966253 
7600, 0.9773159 
7800, 0.97994189 
8000, 0.97496927 
8200, 0.9797184 
8400, 0.97597497 
8600, 0.97960666 
8800, 0.97670131 
9000, 0.96899095 
9200, 0.97742765 
9400, 0.96960554 
9600, 0.97927143 
9800, 0.97374008 
10000, 0.97401944 
10200, 0.97536038 
10400, 0.97994189 
10600, 0.97742765 
10800, 0.97893619 
11000, 0.97826573 
11200, 0.9783216 
11400, 0.9793273 
11600, 0.98016538 
11800, 0.97334898 
12000, 0.97670131 
12200, 0.97893619 
12400, 0.97899207 
12600, 0.97586322 
12800, 0.97737177 
13000, 0.98005364 
13200, 0.97860096 
13400, 0.97809811 
13600, 0.98022125 
13800, 0.97949492 
14000, 0.96625321 
14200, 0.97765113 
14400, 0.97401944 
14600, 0.97558386 
14800, 0.97351659 
15000, 0.97318136 
15200, 0.97753939 
15400, 0.9773159 
15600, 0.97547212 
15800, 0.97306962 
16000, 0.97424293 
16200, 0.9610571 
16400, 0.97826573 
16600, 0.97915968 
16800, 0.98005364 
17000, 0.98027713 
17200, 0.9773159 
17400, 0.97614259 
17600, 0.97826573 
17800, 0.97921555 
18000, 0.9759191 
18200, 0.97804224 
18400, 0.97955079 
18600, 0.9797184 
18800, 0.97999777 
19000, 0.97670131 
19200, 0.97899207 
19400, 0.97720416 
19600, 0.97368421 
19800, 0.97323723 
20000, 0.97938317 
20200, 0.97195217 
20400, 0.97848922 
20600, 0.96999665 
20800, 0.97966253 
21000, 0.97781875 
21200, 0.97843334 
21400, 0.97927143 
21600, 0.97960666 
21800, 0.97664544 
22000, 0.96876746 
22200, 0.97770701 
22400, 0.97994189 
22600, 0.97977428 
22800, 0.98016538 
23000, 0.97698067 
23200, 0.97927143 
23400, 0.97603084 
23600, 0.97781875 
23800, 0.97865683 
24000, 0.97267851 
24200, 0.97575148 
24400, 0.97351659 
24600, 0.97915968 
24800, 0.97865683 
25000, 0.98016538 
25200, 0.96692368 
25400, 0.9773159 
25600, 0.97502514 
25800, 0.97619846 
26000, 0.97753939 
26200, 0.97614259 
26400, 0.97943904 
26600, 0.97284613 
26800, 0.97625433 
27000, 0.97988602 
27200, 0.96787351 
27400, 0.97899207 
27600, 0.97921555 
27800, 0.97541625 
28000, 0.97061124 
28200, 0.980333 
28400, 0.98027713 
28600, 0.97910381 
28800, 0.97888032 
29000, 0.97787462 
29200, 0.97670131 
29400, 0.97675718 
29600, 0.97636607 
29800, 0.97955079 
30000, 0.97955079 
30200, 0.97524863 
30400, 0.97910381 
30600, 0.97999777 
30800, 0.97368421 
31000, 0.97346072 
31200, 0.96921444 
31400, 0.9749134 
31600, 0.97670131 
31800, 0.97156107 
32000, 0.97256677 
32200, 0.97513689 
32400, 0.97848922 
32600, 0.97915968 
32800, 0.97485753 
33000, 0.9715052 
33200, 0.9759191 
33400, 0.97770701 
33600, 0.97603084 
33800, 0.97675718 
34000, 0.98022125 
34200, 0.97647782 
34400, 0.97860096 
34600, 0.97446642 
34800, 0.97955079 
35000, 0.97284613 
35200, 0.97703654 
35400, 0.97955079 
35600, 0.97457817 
35800, 0.97977428 
36000, 0.98016538 
36200, 0.97955079 
36400, 0.97351659 
36600, 0.98022125 
36800, 0.97871271 
37000, 0.97044362 
37200, 0.9742988 
37400, 0.98005364 
37600, 0.97670131 
37800, 0.97860096 
38000, 0.9763102 
38200, 0.97502514 
38400, 0.97915968 
38600, 0.97524863 
38800, 0.97508101 
39000, 0.97547212 
39200, 0.97653369 
39400, 0.97904794 
39600, 0.97899207 
39800, 0.97625433 
40000, 0.97642195 
40200, 0.97943904 
40400, 0.97815398 
40600, 0.97681305 
40800, 0.97072299 
41000, 0.97938317 
41200, 0.97586322 
41400, 0.97938317 
41600, 0.97960666 
41800, 0.97815398 
42000, 0.97681305 
42200, 0.97625433 
42400, 0.97720416 
42600, 0.98022125 
42800, 0.97647782 
43000, 0.97988602 
43200, 0.97536038 
43400, 0.97899207 
43600, 0.97485753 
43800, 0.97893619 
44000, 0.97720416 
44200, 0.97675718 
44400, 0.97804224 
44600, 0.97809811 
44800, 0.97787462 
45000, 0.97200805 
45200, 0.98005364 
