Number of Iterations, Accuracy 
200, 0.98760933 
400, 0.98250729 
600, 0.99052478 
800, 0.98760933 
1000, 0.98177843 
1200, 0.98906706 
1400, 0.98906706 
1600, 0.98542274 
1800, 0.98906706 
2000, 0.98833819 
2200, 0.98760933 
2400, 0.99271137 
2600, 0.99052478 
2800, 0.97959184 
3000, 0.99198251 
3200, 0.98469388 
3400, 0.98177843 
3600, 0.99052478 
3800, 0.98906706 
4000, 0.97959184 
4200, 0.99198251 
4400, 0.98688047 
4600, 0.98469388 
4800, 0.9941691 
5000, 0.98833819 
5200, 0.9861516 
5400, 0.99271137 
5600, 0.98688047 
5800, 0.98833819 
6000, 0.98906706 
6200, 0.98906706 
6400, 0.97959184 
6600, 0.98177843 
6800, 0.98979592 
7000, 0.98688047 
7200, 0.98688047 
7400, 0.98906706 
7600, 0.98906706 
7800, 0.98688047 
8000, 0.98177843 
8200, 0.98688047 
8400, 0.98688047 
8600, 0.98979592 
8800, 0.98760933 
9000, 0.97959184 
9200, 0.98979592 
9400, 0.97959184 
9600, 0.98906706 
9800, 0.98177843 
10000, 0.99052478 
10200, 0.98906706 
10400, 0.98396501 
10600, 0.97959184 
10800, 0.98760933 
11000, 0.98979592 
11200, 0.98688047 
11400, 0.97959184 
11600, 0.98760933 
11800, 0.98833819 
12000, 0.99198251 
12200, 0.99052478 
12400, 0.98979592 
12600, 0.98688047 
12800, 0.98177843 
13000, 0.99344023 
13200, 0.98542274 
13400, 0.99344023 
13600, 0.98979592 
13800, 0.97959184 
14000, 0.99052478 
14200, 0.98979592 
14400, 0.98979592 
14600, 0.98833819 
14800, 0.97959184 
15000, 0.97959184 
15200, 0.98177843 
15400, 0.98979592 
15600, 0.98688047 
15800, 0.98760933 
16000, 0.98760933 
16200, 0.98979592 
16400, 0.98688047 
16600, 0.98906706 
16800, 0.98906706 
17000, 0.9861516 
17200, 0.98906706 
17400, 0.98833819 
17600, 0.99198251 
17800, 0.98906706 
18000, 0.98542274 
18200, 0.98906706 
18400, 0.98979592 
18600, 0.98906706 
18800, 0.98833819 
19000, 0.98906706 
19200, 0.98979592 
19400, 0.98760933 
19600, 0.98906706 
19800, 0.98177843 
20000, 0.98760933 
20200, 0.98542274 
20400, 0.98542274 
20600, 0.98688047 
20800, 0.9861516 
21000, 0.98469388 
21200, 0.9861516 
21400, 0.97959184 
21600, 0.98760933 
21800, 0.98906706 
22000, 0.98688047 
22200, 0.99271137 
22400, 0.98833819 
22600, 0.98469388 
22800, 0.98760933 
23000, 0.99052478 
23200, 0.9861516 
23400, 0.98979592 
23600, 0.99052478 
23800, 0.98906706 
24000, 0.9861516 
24200, 0.99125364 
24400, 0.98177843 
24600, 0.99198251 
24800, 0.9861516 
25000, 0.98469388 
25200, 0.97959184 
25400, 0.98177843 
25600, 0.98906706 
25800, 0.98469388 
26000, 0.9861516 
26200, 0.98760933 
26400, 0.98469388 
26600, 0.98177843 
26800, 0.99052478 
27000, 0.98469388 
27200, 0.98906706 
27400, 0.98177843 
27600, 0.98760933 
27800, 0.98469388 
28000, 0.98760933 
28200, 0.98469388 
28400, 0.98906706 
28600, 0.98760933 
28800, 0.98906706 
29000, 0.98760933 
29200, 0.98833819 
29400, 0.99344023 
29600, 0.99271137 
29800, 0.98688047 
30000, 0.97959184 
30200, 0.98833819 
30400, 0.98542274 
30600, 0.98906706 
30800, 0.99052478 
31000, 0.99271137 
31200, 0.98760933 
31400, 0.98688047 
31600, 0.98979592 
31800, 0.98688047 
32000, 0.97959184 
32200, 0.98760933 
32400, 0.98177843 
32600, 0.99125364 
32800, 0.99052478 
33000, 0.98542274 
33200, 0.98688047 
33400, 0.9941691 
33600, 0.98760933 
33800, 0.97959184 
34000, 0.98760933 
34200, 0.98979592 
34400, 0.98469388 
34600, 0.99344023 
34800, 0.98760933 
35000, 0.99198251 
35200, 0.99344023 
35400, 0.98396501 
35600, 0.98688047 
35800, 0.98469388 
36000, 0.9861516 
36200, 0.98469388 
36400, 0.99052478 
36600, 0.99052478 
36800, 0.98177843 
37000, 0.98542274 
37200, 0.98177843 
37400, 0.99344023 
37600, 0.98906706 
37800, 0.98979592 
38000, 0.98760933 
38200, 0.98760933 
38400, 0.98906706 
38600, 0.98979592 
38800, 0.98760933 
39000, 0.98906706 
39200, 0.98177843 
39400, 0.99125364 
39600, 0.99052478 
39800, 0.98688047 
40000, 0.99052478 
40200, 0.99344023 
40400, 0.98469388 
40600, 0.98469388 
40800, 0.98469388 
41000, 0.98469388 
41200, 0.98760933 
41400, 0.98979592 
41600, 0.99271137 
41800, 0.99125364 
42000, 0.99052478 
42200, 0.98906706 
42400, 0.98469388 
42600, 0.98469388 
42800, 0.98177843 
43000, 0.99344023 
43200, 0.98906706 
43400, 0.98833819 
43600, 0.98906706 
43800, 0.98760933 
44000, 0.97959184 
44200, 0.9941691 
