Number of Iterations, Accuracy 
200, 0.99175 
400, 0.992 
600, 0.9925 
800, 0.98875 
1000, 0.99175 
1200, 0.99275 
1400, 0.97925 
1600, 0.993 
1800, 0.993 
2000, 0.9925 
2200, 0.99275 
2400, 0.9915 
2600, 0.9925 
2800, 0.99225 
3000, 0.99025 
3200, 0.99075 
3400, 0.985 
3600, 0.99225 
3800, 0.99225 
4000, 0.992 
4200, 0.99175 
4400, 0.99125 
4600, 0.993 
4800, 0.99225 
5000, 0.99275 
5200, 0.992 
5400, 0.99125 
5600, 0.993 
5800, 0.9915 
6000, 0.99325 
6200, 0.99175 
6400, 0.993 
6600, 0.993 
6800, 0.99175 
7000, 0.9925 
7200, 0.99275 
7400, 0.99275 
7600, 0.992 
7800, 0.99225 
8000, 0.9925 
8200, 0.992 
8400, 0.99275 
8600, 0.99225 
8800, 0.99225 
9000, 0.992 
9200, 0.99225 
9400, 0.99175 
9600, 0.99125 
9800, 0.9925 
10000, 0.993 
10200, 0.992 
10400, 0.9925 
10600, 0.992 
10800, 0.99275 
11000, 0.992 
11200, 0.991 
11400, 0.99225 
11600, 0.992 
11800, 0.99225 
12000, 0.9915 
12200, 0.98875 
12400, 0.99175 
12600, 0.992 
12800, 0.992 
13000, 0.99275 
13200, 0.99175 
13400, 0.993 
13600, 0.99175 
13800, 0.99225 
14000, 0.99175 
14200, 0.99175 
14400, 0.992 
14600, 0.9915 
14800, 0.99275 
15000, 0.9865 
15200, 0.9915 
15400, 0.992 
15600, 0.993 
15800, 0.992 
16000, 0.99125 
16200, 0.99225 
16400, 0.993 
16600, 0.99225 
16800, 0.99225 
17000, 0.99325 
17200, 0.992 
17400, 0.99275 
17600, 0.99275 
17800, 0.993 
18000, 0.9845 
18200, 0.99075 
18400, 0.98725 
18600, 0.993 
18800, 0.99175 
19000, 0.99175 
19200, 0.99225 
19400, 0.99175 
19600, 0.98825 
19800, 0.9925 
20000, 0.9925 
20200, 0.99225 
20400, 0.99325 
20600, 0.99075 
20800, 0.9935 
21000, 0.98 
21200, 0.99275 
21400, 0.992 
21600, 0.991 
21800, 0.99275 
22000, 0.9925 
22200, 0.993 
22400, 0.992 
22600, 0.99275 
22800, 0.99325 
23000, 0.99225 
23200, 0.99125 
23400, 0.99175 
23600, 0.99275 
23800, 0.9925 
24000, 0.99225 
24200, 0.99275 
24400, 0.993 
24600, 0.992 
24800, 0.98725 
25000, 0.99275 
25200, 0.9915 
25400, 0.99175 
25600, 0.9925 
25800, 0.99225 
26000, 0.99225 
26200, 0.99125 
26400, 0.99175 
26600, 0.99225 
26800, 0.992 
27000, 0.99375 
27200, 0.99225 
27400, 0.99275 
27600, 0.988 
27800, 0.992 
28000, 0.99325 
28200, 0.99 
28400, 0.993 
28600, 0.993 
28800, 0.98225 
29000, 0.992 
29200, 0.9925 
29400, 0.99225 
29600, 0.99275 
29800, 0.9925 
30000, 0.99175 
30200, 0.992 
30400, 0.9925 
30600, 0.99325 
30800, 0.992 
31000, 0.99275 
31200, 0.9915 
31400, 0.993 
31600, 0.99275 
31800, 0.99225 
32000, 0.993 
32200, 0.992 
32400, 0.99 
32600, 0.9925 
32800, 0.99125 
33000, 0.9925 
33200, 0.991 
33400, 0.99225 
33600, 0.9875 
33800, 0.99225 
34000, 0.99175 
34200, 0.9925 
34400, 0.99275 
34600, 0.9915 
34800, 0.99175 
35000, 0.98625 
35200, 0.9915 
35400, 0.99225 
35600, 0.99275 
35800, 0.9915 
36000, 0.9915 
36200, 0.9925 
36400, 0.9925 
36600, 0.9865 
36800, 0.99075 
37000, 0.992 
37200, 0.99275 
37400, 0.9895 
37600, 0.99225 
37800, 0.99175 
38000, 0.99225 
38200, 0.993 
38400, 0.9905 
38600, 0.989 
38800, 0.99175 
39000, 0.99225 
39200, 0.99125 
39400, 0.99025 
39600, 0.9925 
39800, 0.9925 
40000, 0.99225 
40200, 0.993 
40400, 0.99175 
40600, 0.992 
40800, 0.992 
41000, 0.991 
41200, 0.99225 
41400, 0.99275 
41600, 0.993 
41800, 0.99175 
42000, 0.992 
42200, 0.99225 
42400, 0.99275 
42600, 0.99225 
42800, 0.99275 
43000, 0.99025 
43200, 0.993 
43400, 0.99275 
43600, 0.99175 
43800, 0.993 
44000, 0.9925 
44200, 0.9925 
44400, 0.98925 
44600, 0.99175 
44800, 0.992 
45000, 0.9925 
45200, 0.993 
45400, 0.992 
45600, 0.98925 
45800, 0.99225 
46000, 0.9925 
46200, 0.9925 
46400, 0.99225 
46600, 0.993 
46800, 0.991 
47000, 0.99125 
47200, 0.991 
47400, 0.992 
47600, 0.993 
47800, 0.992 
48000, 0.99175 
48200, 0.99125 
48400, 0.99025 
48600, 0.992 
48800, 0.9925 
49000, 0.991 
49200, 0.99325 
49400, 0.9925 
49600, 0.99125 
49800, 0.9915 
50000, 0.99225 
50200, 0.9915 
50400, 0.992 
50600, 0.99325 
50800, 0.991 
51000, 0.99175 
51200, 0.9925 
51400, 0.992 
51600, 0.9925 
51800, 0.9925 
52000, 0.992 
52200, 0.99275 
52400, 0.99 
52600, 0.9925 
52800, 0.98925 
53000, 0.99225 
53200, 0.992 
53400, 0.99225 
53600, 0.99225 
53800, 0.9915 
54000, 0.9925 
54200, 0.99225 
54400, 0.99 
54600, 0.99025 
54800, 0.99275 
55000, 0.98775 
55200, 0.99275 
55400, 0.9925 
55600, 0.98875 
55800, 0.99175 
56000, 0.99275 
56200, 0.992 
56400, 0.99375 
56600, 0.993 
56800, 0.993 
57000, 0.9915 
57200, 0.99175 
57400, 0.99225 
57600, 0.993 
57800, 0.992 
58000, 0.99175 
58200, 0.991 
58400, 0.992 
58600, 0.991 
58800, 0.99225 
59000, 0.9925 
59200, 0.9925 
59400, 0.99175 
59600, 0.99175 
59800, 0.99275 
60000, 0.9925 
60200, 0.99275 
60400, 0.9925 
60600, 0.993 
60800, 0.992 
61000, 0.99225 
61200, 0.993 
61400, 0.9925 
61600, 0.99325 
61800, 0.99225 
62000, 0.992 
62200, 0.992 
62400, 0.98525 
62600, 0.99175 
62800, 0.9925 
63000, 0.99225 
63200, 0.9915 
63400, 0.98775 
63600, 0.99225 
63800, 0.99175 
64000, 0.99125 
64200, 0.99225 
64400, 0.99275 
64600, 0.98825 
64800, 0.992 
65000, 0.9895 
65200, 0.9915 
65400, 0.99225 
65600, 0.97525 
65800, 0.9925 
66000, 0.99325 
66200, 0.99275 
66400, 0.9895 
66600, 0.99225 
66800, 0.99225 
67000, 0.99275 
67200, 0.99325 
67400, 0.99175 
67600, 0.99 
67800, 0.992 
68000, 0.99325 
68200, 0.98725 
68400, 0.993 
68600, 0.9915 
68800, 0.9915 
69000, 0.9915 
69200, 0.992 
69400, 0.99275 
69600, 0.992 
69800, 0.9925 
70000, 0.99175 
70200, 0.99175 
70400, 0.99175 
70600, 0.9915 
70800, 0.99225 
71000, 0.99 
71200, 0.992 
71400, 0.993 
71600, 0.99225 
71800, 0.99175 
72000, 0.992 
72200, 0.9925 
72400, 0.993 
72600, 0.99225 
72800, 0.992 
73000, 0.9865 
73200, 0.9925 
73400, 0.99325 
73600, 0.99275 
73800, 0.9925 
74000, 0.99225 
74200, 0.99125 
74400, 0.991 
74600, 0.9905 
74800, 0.99125 
75000, 0.99225 
75200, 0.9925 
75400, 0.9925 
75600, 0.9885 
75800, 0.986 
76000, 0.989 
76200, 0.9925 
76400, 0.98975 
76600, 0.99225 
76800, 0.99275 
77000, 0.99125 
77200, 0.99225 
77400, 0.99275 
77600, 0.9925 
77800, 0.99325 
78000, 0.99225 
78200, 0.98425 
78400, 0.99175 
78600, 0.9925 
78800, 0.99275 
79000, 0.9925 
79200, 0.9925 
79400, 0.993 
79600, 0.99175 
79800, 0.99225 
80000, 0.99125 
80200, 0.9925 
80400, 0.992 
80600, 0.993 
80800, 0.99275 
81000, 0.99275 
81200, 0.9925 
81400, 0.9925 
81600, 0.992 
81800, 0.99125 
82000, 0.99275 
82200, 0.99175 
82400, 0.99175 
82600, 0.98975 
82800, 0.9875 
83000, 0.992 
83200, 0.9925 
83400, 0.992 
83600, 0.99175 
83800, 0.99175 
84000, 0.9925 
84200, 0.99175 
84400, 0.99175 
84600, 0.99225 
84800, 0.992 
85000, 0.99275 
85200, 0.99125 
85400, 0.99225 
85600, 0.9925 
85800, 0.9915 
86000, 0.9935 
86200, 0.993 
86400, 0.99225 
86600, 0.99275 
86800, 0.9925 
87000, 0.9925 
87200, 0.99175 
87400, 0.992 
87600, 0.99225 
87800, 0.9925 
88000, 0.9925 
88200, 0.99275 
88400, 0.99125 
88600, 0.9925 
88800, 0.99325 
89000, 0.99225 
89200, 0.99225 
89400, 0.993 
89600, 0.993 
89800, 0.9905 
90000, 0.99175 
90200, 0.9885 
90400, 0.992 
90600, 0.99225 
90800, 0.99175 
91000, 0.993 
91200, 0.9905 
91400, 0.9925 
91600, 0.9915 
91800, 0.992 
92000, 0.99175 
92200, 0.99325 
92400, 0.99175 
92600, 0.99175 
92800, 0.99225 
93000, 0.99275 
93200, 0.9915 
93400, 0.99225 
93600, 0.9925 
93800, 0.99225 
94000, 0.9865 
94200, 0.99175 
94400, 0.99275 
94600, 0.9895 
94800, 0.99275 
95000, 0.99225 
95200, 0.99325 
95400, 0.99225 
95600, 0.993 
95800, 0.9925 
96000, 0.99175 
96200, 0.98725 
96400, 0.99275 
96600, 0.99175 
96800, 0.9925 
97000, 0.99325 
97200, 0.99175 
97400, 0.9935 
97600, 0.993 
97800, 0.99125 
98000, 0.9935 
98200, 0.9925 
98400, 0.99275 
98600, 0.99175 
98800, 0.992 
99000, 0.99125 
99200, 0.9925 
99400, 0.992 
99600, 0.992 
99800, 0.9925 
100000, 0.99225 
100200, 0.99225 
100400, 0.9915 
100600, 0.9925 
100800, 0.99225 
101000, 0.98975 
101200, 0.99175 
101400, 0.993 
101600, 0.992 
101800, 0.992 
102000, 0.992 
102200, 0.993 
102400, 0.99275 
102600, 0.993 
102800, 0.99225 
103000, 0.991 
103200, 0.9915 
103400, 0.9925 
103600, 0.992 
103800, 0.99175 
104000, 0.99175 
104200, 0.99275 
104400, 0.992 
