Number of Iterations, Accuracy 
0, 0.79825 
20, 0.9495 
40, 0.988 
60, 0.987 
80, 0.992 
100, 0.97825 
120, 0.98775 
140, 0.99425 
160, 0.9895 
180, 0.989 
200, 0.9895 
220, 0.991 
240, 0.9965 
260, 0.9955 
280, 0.99475 
300, 0.9955 
320, 0.9845 
340, 0.994 
360, 0.996 
380, 0.996 
400, 0.997 
420, 0.99375 
440, 0.997 
460, 0.9885 
480, 0.99625 
500, 0.9955 
520, 0.99525 
540, 0.9955 
560, 0.9935 
580, 0.99525 
600, 0.99375 
620, 0.98075 
640, 0.99525 
660, 0.99475 
680, 0.993 
700, 0.99575 
720, 0.9905 
740, 0.99375 
760, 0.995 
780, 0.9895 
800, 0.99325 
820, 0.9935 
840, 0.997 
860, 0.99725 
880, 0.9955 
900, 0.99725 
920, 0.997 
940, 0.99575 
960, 0.992 
980, 0.983 
1000, 0.99175 
1020, 0.985 
1040, 0.9965 
1060, 0.99725 
1080, 0.99575 
1100, 0.99725 
1120, 0.98325 
1140, 0.9815 
1160, 0.99575 
1180, 0.98775 
1200, 0.9925 
1220, 0.9945 
1240, 0.9855 
1260, 0.989 
1280, 0.99275 
1300, 0.99525 
1320, 0.996 
1340, 0.998 
1360, 0.98775 
1380, 0.9955 
1400, 0.98575 
1420, 0.99425 
1440, 0.98575 
1460, 0.99525 
1480, 0.9925 
1500, 0.9965 
1520, 0.98325 
1540, 0.983 
1560, 0.99025 
1580, 0.986 
1600, 0.997 
1620, 0.987 
1640, 0.9915 
1660, 0.99625 
1680, 0.994 
1700, 0.998 
1720, 0.997 
1740, 0.99425 
1760, 0.99775 
1780, 0.98575 
1800, 0.9955 
1820, 0.985 
1840, 0.996 
1860, 0.99725 
1880, 0.992 
1900, 0.9935 
1920, 0.99675 
1940, 0.992 
1960, 0.99375 
1980, 0.9985 
2000, 0.996 
2020, 0.997 
2040, 0.98675 
2060, 0.991 
2080, 0.997 
2100, 0.9975 
2120, 0.9965 
2140, 0.9865 
2160, 0.99725 
2180, 0.99525 
2200, 0.99525 
2220, 0.996 
2240, 0.99475 
2260, 0.993 
2280, 0.99125 
2300, 0.9965 
2320, 0.98575 
2340, 0.99775 
2360, 0.998 
2380, 0.99575 
2400, 0.99575 
2420, 0.998 
2440, 0.9975 
2460, 0.9955 
2480, 0.9975 
2500, 0.993 
2520, 0.99725 
2540, 0.985 
2560, 0.9975 
2580, 0.996 
2600, 0.998 
2620, 0.99525 
2640, 0.994 
2660, 0.99625 
2680, 0.99425 
2700, 0.99775 
2720, 0.998 
2740, 0.98975 
2760, 0.99775 
2780, 0.99775 
2800, 0.99725 
2820, 0.99525 
2840, 0.99425 
2860, 0.99675 
2880, 0.99775 
2900, 0.99775 
2920, 0.99775 
2940, 0.99725 
2960, 0.98675 
2980, 0.99625 
3000, 0.989 
3020, 0.99425 
3040, 0.9935 
3060, 0.998 
3080, 0.997 
3100, 0.99025 
3120, 0.997 
3140, 0.99725 
3160, 0.99375 
3180, 0.996 
3200, 0.9955 
3220, 0.99775 
3240, 0.998 
3260, 0.99825 
3280, 0.9875 
3300, 0.997 
3320, 0.9975 
3340, 0.9955 
3360, 0.9855 
3380, 0.99875 
3400, 0.9945 
3420, 0.997 
3440, 0.99675 
3460, 0.99225 
3480, 0.99475 
3500, 0.99825 
3520, 0.9975 
3540, 0.99725 
3560, 0.998 
3580, 0.9935 
3600, 0.9885 
3620, 0.9895 
3640, 0.9935 
3660, 0.9885 
3680, 0.99225 
3700, 0.986 
3720, 0.99775 
3740, 0.9965 
3760, 0.998 
3780, 0.99825 
3800, 0.997 
3820, 0.9985 
3840, 0.994 
3860, 0.994 
3880, 0.991 
3900, 0.99725 
3920, 0.99525 
3940, 0.99075 
3960, 0.997 
3980, 0.98925 
4000, 0.99775 
4020, 0.998 
4040, 0.999 
4060, 0.99675 
4080, 0.98875 
4100, 0.99575 
4120, 0.997 
4140, 0.99725 
