Number of Iterations, Accuracy 
58400, 0.92307692 
58600, 0.94230769 
58800, 0.94711538 
59000, 0.95192308 
59200, 0.9375 
59400, 0.96153846 
59600, 0.9375 
59800, 0.85576923 
60000, 0.95673077 
60200, 0.93269231 
60400, 0.94230769 
60600, 0.96634615 
60800, 0.95192308 
61000, 0.95192308 
61200, 0.95192308 
61400, 0.95192308 
61600, 0.94711538 
61800, 0.92788462 
62000, 0.94711538 
62200, 0.90865385 
62400, 0.89423077 
62600, 0.91826923 
62800, 0.94230769 
63000, 0.90384615 
63200, 0.91346154 
63400, 0.92307692 
63600, 0.92307692 
63800, 0.94711538 
64000, 0.93269231 
64200, 0.97115385 
64400, 0.94230769 
64600, 0.92307692 
64800, 0.9375 
65000, 0.96634615 
65200, 0.9375 
65400, 0.92788462 
65600, 0.96153846 
65800, 0.97115385 
66000, 0.94711538 
66200, 0.96153846 
66400, 0.91826923 
66600, 0.94230769 
66800, 0.94230769 
67000, 0.91826923 
67200, 0.9375 
67400, 0.90865385 
67600, 0.96153846 
67800, 0.95673077 
68000, 0.91346154 
68200, 0.94711538 
68400, 0.95192308 
68600, 0.96153846 
68800, 0.96153846 
69000, 0.98076923 
69200, 0.95192308 
69400, 0.96634615 
69600, 0.92788462 
69800, 0.96153846 
70000, 0.92788462 
70200, 0.95673077 
70400, 0.91346154 
70600, 0.94711538 
70800, 0.95673077 
71000, 0.93269231 
71200, 0.91826923 
71400, 0.95192308 
71600, 0.94711538 
71800, 0.95192308 
72000, 0.91826923 
72200, 0.9375 
72400, 0.94711538 
72600, 0.95673077 
72800, 0.92307692 
73000, 0.96634615 
73200, 0.97596154 
73400, 0.95192308 
73600, 0.96153846 
73800, 0.94711538 
74000, 0.92788462 
74200, 0.89903846 
74400, 0.97115385 
74600, 0.95192308 
74800, 0.96153846 
75000, 0.96153846 
75200, 0.96153846 
75400, 0.96153846 
75600, 0.96153846 
75800, 0.95673077 
76000, 0.94230769 
76200, 0.94230769 
76400, 0.94230769 
76600, 0.95192308 
76800, 0.9375 
77000, 0.90865385 
77200, 0.96634615 
77400, 0.96634615 
77600, 0.97115385 
77800, 0.95673077 
78000, 0.95192308 
78200, 0.97115385 
78400, 0.97115385 
78600, 0.97115385 
78800, 0.96153846 
79000, 0.96153846 
79200, 0.94230769 
79400, 0.95192308 
79600, 0.94711538 
79800, 0.95192308 
80000, 0.96153846 
80200, 0.91826923 
80400, 0.93269231 
80600, 0.97115385 
80800, 0.96634615 
81000, 0.95673077 
81200, 0.95192308 
81400, 0.95192308 
81600, 0.95673077 
81800, 0.95192308 
82000, 0.96153846 
82200, 0.94711538 
82400, 0.96153846 
82600, 0.95673077 
82800, 0.96634615 
83000, 0.88942308 
83200, 0.95673077 
83400, 0.95673077 
83600, 0.96153846 
83800, 0.97115385 
84000, 0.95673077 
84200, 0.97115385 
84400, 0.96634615 
84600, 0.95192308 
84800, 0.96634615 
